First name,Last name,Street,City,State/province,Zip/Postal Code,Country/region,Job Title,Department,Company,Manager,Description,Office,Telephone number,Other Telephone,Mobile,Notes,Account status
Helena,Dupont,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Janne,De Clercq,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Jules,Janssen,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Julie,Hendrickx,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Kobe,Stevens,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lars,Devos,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lena,Martin,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Leon,De Backer,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lewis,Lemmens,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Liam,Segers,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lily,Van de Velde,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lina,Coppens,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Liv,Simon,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lotte,Leroy,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lucas,Verhoeven,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lucie,Cools,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Lukas,Leclercq,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Luna,Laurent,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Manon,De Smedt,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Mats,Thomas,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
01,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
02,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
03,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
04,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
05,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
06,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
07,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
08,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
09,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
10,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
11,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
12,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
13,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
14,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
15,Temp,Brouwersveld 1,Oostrozebeke,,8780,BE,Interimmedewerker,Productie,Brouwerij Moos,Angela Moos,Disabled - Only enable after an interimcontract has been signed,,,,,,Disabled
Mia,Renard,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Mila,Timmermans,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Milan,Baert,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Mohamed,Lejeune,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Mona,De Meyer,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Nathan,De Wilde,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Nina,Vandenberghe,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Noah,Verheyen,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Noor,Lenaerts,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Nora,De Ridder,Brouwersveld 1,Oostrozebeke,,8780,BE,Planner,Logistiek,Brouwerij Moos,Hop Karlsberg,,,,,,,Enabled
Olivia,De Pauw,Brouwersveld 1,Oostrozebeke,,8780,BE,Marketeer,Marketing,Brouwerij Moos,Jeroen Moos,,,,,,,Enabled
Oona,Lauwers,Brouwersveld 1,Oostrozebeke,,8780,BE,Marketeer,Marketing,Brouwerij Moos,Jeroen Moos,,,,,,,Enabled
Oscar,Gerard,Brouwersveld 1,Oostrozebeke,,8780,BE,Marketeer,Marketing,Brouwerij Moos,Jeroen Moos,,,,,,,Enabled
Rayan,Lambrechts,Brouwersveld 1,Oostrozebeke,,8780,BE,Marketeer,Marketing,Brouwerij Moos,Jeroen Moos,,,,,,,Enabled
Sara,Lemaire,Brouwersveld 1,Oostrozebeke,,8780,BE,Marketeer,Marketing,Brouwerij Moos,Jeroen Moos,,,,,,,Enabled
Seppe,Geerts,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Sofia,Mathieu,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Stan,Verbeke,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Tuur,Bogaert,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Vic,Cornelis,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Viktor,Christiaens,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Vince,Moens,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Warre,Charlier,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Wout,Vermeiren,Brouwersveld 1,Oostrozebeke,,8780,BE,Onderzoeker,Onderzoek,Brouwerij Moos,Piet Huysenbrouwer,,,,,,,Enabled
Petra,Alm,Boekhouderij 9,Boekhoute,,9961,BE,Boekhouder,Boekhouding,Alm Accounting,,Extern,,,,,,Enabled
